Date,Close
2021-02-08,172.44
2021-02-09,189.1
2021-02-10,182.53
2021-02-11,183.12
2021-02-12,206.89
2021-02-13,215.95
2021-02-14,199.37
2021-02-15,216.5
2021-02-16,208.92
2021-02-17,232.72
2021-02-18,224.91
2021-02-19,243.55
2021-02-20,227.43
2021-02-21,219.45
2021-02-22,195.58
2021-02-23,184.42
2021-02-24,181.64
2021-02-25,176.76
2021-02-26,176.05
2021-02-27,158.59
2021-02-28,165.43
2021-03-01,173.54
2021-03-02,185.1
2021-03-03,185.14
2021-03-04,173.12
2021-03-05,179.56
2021-03-06,184.55
2021-03-07,188.53
2021-03-08,199
2021-03-09,193.28
2021-03-10,199.59
2021-03-11,209.49
2021-03-12,217.13
2021-03-13,224.18
2021-03-14,219.66
2021-03-15,196.38
2021-03-16,197.29
2021-03-17,204.75
2021-03-18,201.09
2021-03-19,202.2
2021-03-20,199.27
2021-03-21,194.83
2021-03-22,188.27
2021-03-23,191.02
2021-03-24,175.83
2021-03-25,175.15
2021-03-26,181.8
2021-03-27,186.28
2021-03-28,190.62
2021-03-29,190.84
2021-03-30,193.62
2021-03-31,197.47
2021-04-01,206.18
2021-04-02,210.75
2021-04-03,199.46
2021-04-04,202.81
2021-04-05,218.43
2021-04-06,239.92
2021-04-07,221.42
2021-04-08,224.34
2021-04-09,226.62
2021-04-10,250.48
2021-04-11,253.87
2021-04-12,250.17
2021-04-13,279.78
2021-04-14,278.44
2021-04-15,295.14
2021-04-16,323.92
2021-04-17,273.18
2021-04-18,280.5
2021-04-19,247.8
2021-04-20,258.64
2021-04-21,257.77
2021-04-22,232.76
2021-04-23,234.33
2021-04-24,224.44
2021-04-25,238.39
2021-04-26,248.44
2021-04-27,255.99
2021-04-28,254.21
2021-04-29,260.2
2021-04-30,274.48
2021-05-01,277.29
2021-05-02,274.6997986
2021-05-03,276.1644287
2021-05-04,289.0223999
2021-05-05,283.3168335
2021-05-06,296.1510315
2021-05-07,289.5975952
2021-05-08,340.8815308
2021-05-09,306.5247803
2021-05-10,301.6396179
2021-05-11,301.1837463
2021-05-12,304.1275635
2021-05-13,295.1040649
2021-05-14,302.4275208
2021-05-15,330.0351257
2021-05-16,320.4558716
2021-05-17,330.1731567
2021-05-18,307.645874
2021-05-19,315.0816956
2021-05-20,302.3518066
2021-05-21,298.4434814
2021-05-22,300.3204651
2021-05-23,305.0869751
